Measured_Price,Estimated_Price,Estimated_Velocity,rel_diff
375.85,375.86743,0.207579,-4.6e-05
377.65,376.655687,0.33272,0.00264
377.0,376.992681,0.333642,1.9e-05
377.65,377.445658,0.359359,0.000541
379.5,378.429934,0.494035,0.002828
381.1,379.726242,0.666932,0.003618
379.95,380.229782,0.631719,-0.000736
380.95,380.894129,0.638751,0.000147
379.95,380.949294,0.512983,-0.002623
379.35,380.683509,0.345151,-0.003503
379.1,380.31759,0.191909,-0.003202
380.4,380.469128,0.183209,-0.000182
380.65,380.651475,0.183023,-4e-06
379.9,380.489962,0.108772,-0.001551
382.45,381.28127,0.255865,0.003065
382.65,381.947433,0.344288,0.001839
381.15,381.870784,0.253572,-0.001888
379.9,381.304267,0.076835,-0.003683
379.35,380.632263,-0.084546,-0.003369
380.4,380.493255,-0.096283,-0.000245
380.4,380.398089,-0.096043,5e-06
379.0,379.821999,-0.199497,-0.002164
379.0,379.392994,-0.248958,-0.001036
378.2,378.795983,-0.323967,-0.001573
379.0,378.666677,-0.282016,0.00088
379.0,378.611528,-0.233124,0.001026
378.55,378.441669,-0.21949,0.000286
378.5,378.324608,-0.197415,0.000464
378.4,378.227773,-0.175739,0.000455
379.6,378.622748,-0.052745,0.002581
378.6,378.581062,-0.050362,5e-05
378.6,378.55625,-0.044856,0.000116
379.25,378.783708,0.01383,0.001231
380.0,379.24087,0.109372,0.002002
379.0,379.221113,0.081544,-0.000583
380.4,379.707232,0.168733,0.001824
379.7,379.811089,0.154752,-0.000292
379.6,379.830961,0.125684,-0.000608
378.7,379.493337,0.025837,-0.002091
378.7,379.217156,-0.039251,-0.001364
379.3,379.22292,-0.02955,0.000203
380.0,379.490764,0.034541,0.001342
380.3,379.810924,0.096095,0.001288
380.2,380.015037,0.119374,0.000487
381.0,380.453542,0.188149,0.001436
381.25,380.865966,0.236483,0.001008
379.0,380.327305,0.069432,-0.00349
